,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,0.34,1.73,0.92,3.8,4.42
Expenses,0.45,1.25,0.49,3.46,3.09
Operating Profit,-0.11,0.48,0.43,0.34,1.33
OPM %,-32.35,27.75,46.74,8.95,30.09
Other Income,0.0,0.0,0.0,0.27,0.02
Interest,0.08,0.11,0.34,0.11,0.31
Depreciation,0.04,0.05,0.06,0.06,0.06
Profit before tax,-0.23,0.32,0.03,0.44,0.98
Tax %,0.0,15.62,33.33,22.73,25.51
Net Profit,-0.23,0.28,0.02,0.33,0.73
EPS in Rs,-2.3,0.66,0.03,0.53,1.17
