,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,32.09,31.63,42.1,48.19,66.79
Expenses,30.57,30.35,39.81,43.61,64.57
Operating Profit,1.52,1.28,2.29,4.58,2.22
OPM %,4.74,4.05,5.44,9.5,3.32
Other Income,0.04,0.25,0.07,0.13,0.14
Interest,1.13,1.12,0.94,1.15,1.10
Depreciation,0.14,0.06,0.06,0.07,0.08
Profit before tax,0.29,0.35,1.36,3.49,1.18
Tax %,68.97,28.57,33.09,28.65,
Net Profit,0.09,0.25,0.91,2.49,0.93
EPS in Rs,0.45,1.24,4.5,3.44,1.28
