,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,34.65,38.59,23.92,46.59,43.66,50.42,61.64,58.32,55.17,57.86,59.32,62.6
Expenses,30.86,34.66,22.27,43.12,39.42,48.49,59.58,54.09,49.48,50.84,53.18,55.26
Operating Profit,3.79,3.93,1.65,3.47,4.24,1.93,2.06,4.23,5.69,7.02,6.14,7.34
OPM %,10.94,10.18,6.9,7.45,9.71,3.83,3.34,7.25,10.31,12.13,10.35,11.73
Other Income,1.16,2.73,-0.8,3.02,0.21,0.4,1.14,0.17,-0.3,0.56,0.98,1.04
Interest,0.54,0.9,0.68,1.04,0.8,0.61,0.56,0.71,0.6,0.43,0.23,0.21
Depreciation,0.41,0.45,0.69,0.72,0.74,0.69,0.77,0.78,0.81,0.88,1.03,1.08
Profit before tax,4.0,5.31,-0.52,4.73,2.91,1.03,1.87,2.91,3.98,6.27,5.86,7.09
Tax %,21.5,24.86,21.15,25.79,26.12,33.01,26.74,13.75,22.11,38.28,22.87,26.09
Net Profit,3.13,4.0,-0.41,3.51,2.15,0.69,1.37,2.51,3.1,3.87,4.51,5.24
EPS in Rs,0.48,0.62,-0.06,0.49,0.23,0.08,0.15,0.27,0.34,0.42,0.49,0.57
