,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,85.0,118.0,165.0,233.0,235
Expenses,80.0,106.0,153.0,214.0,209
Operating Profit,4.0,12.0,11.0,19.0,26
OPM %,5.0,10.0,7.0,8.0,11
Other Income,-5.0,6.0,3.0,2.0,2
Interest,3.0,3.0,3.0,2.0,1
Depreciation,2.0,2.0,3.0,3.0,4
Profit before tax,-5.0,13.0,8.0,15.0,23
Tax %,13.0,24.0,26.0,28.0,
Net Profit,-5.0,10.0,6.0,11.0,17
EPS in Rs,-0.73,1.55,0.65,1.18,1.82
