,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,81,81,81,81,81,81,81,81,81,81,90,90,90
Reserves,297,339,356,398,433,474,597,656,673,711,847,927,859
Borrowings,790,911,862,956,996,1050,1304,1324,1447,1360,1272,999,1044
Other Liabilities,29,61,64,65,80,96,35,30,43,34,35,29,35
Total Liabilities,1196,1392,1362,1501,1590,1700,2017,2091,2244,2185,2245,2045,2028
Fixed Assets,28,32,30,30,29,20,15,14,18,16,17,15,15
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,99,181,138,190,255,248,301,318,219,159,165,338,492
Other Assets,1070,1179,1193,1281,1307,1432,1701,1758,2008,2010,2062,1692,1521
Total Assets,1196,1392,1362,1501,1590,1700,2017,2091,2244,2185,2245,2045,2028
