,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,13,14,14,14,29,28,28,27,27,27,27,27
Reserves,35,57,81,98,97,115,140,147,149,167,191,214
Borrowings,27,45,42,43,17,14,10,18,21,45,32,39
Other Liabilities,12,20,20,20,25,34,35,35,28,40,37,35
Total Liabilities,88,135,157,176,168,191,214,227,226,279,287,315
Fixed Assets,33,70,77,85,81,92,103,99,94,151,159,153
CWIP,0,0,1,2,0,2,2,0,31,1,0,0
Investments,8,1,2,2,3,5,7,10,10,13,32,36
Other Assets,46,64,77,87,84,92,102,119,90,114,96,127
Total Assets,88,135,157,176,168,191,214,227,226,279,287,315
