,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,93.69,93.69,93.69,93.69,93.69,93.69,93.69,93.69,93.69
Government,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.61,5.61
Public,6.31,6.31,6.31,6.31,6.31,6.31,6.31,0.7,0.71
No. of Shareholders,22138.0,20722.0,18604.0,18341.0,18058.0,18084.0,18330.0,17997.0,18161.0
