,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,359,361,418,421,456,461,463,2510,5011,5011,5751,5752.0
Reserves,5449,6755,11248,13342,21583,25292,26424,19185,28127,28688,34019,
Borrowings,87878,95500,117379,143363,181464,275582,335982,219102,226795,269403,295136,
Other Liabilities,5419,6390,7098,8117,11556,11115,17990,17036,13660,15476,20298,
Total Liabilities,99104,109005,136143,165243,215060,312450,380860,257832,273593,318578,355204,
Fixed Assets,218,277,296,414,612,765,778,730,2096,2016,2156,
CWIP,11,20,26,60,75,72,51,294,63,125,296,
Investments,42976,40933,43193,48788,49982,68293,89329,43748,43115,51754,76749,
Other Assets,55899,67775,92628,115980,164391,243319,290701,213061,228320,264683,276003,
Total Assets,99104,109005,136143,165243,215060,312450,380860,257832,273593,318578,355204,
