,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,541,4436,-2317,-304,4384,-21810,-24573,-57721,55396,23598,-25816
Cash from Investing Activity,-6742,-2785,-3591,-4023,-4478,-8738,-6235,14128,441,-14566,-13026
Cash from Financing Activity,6681,176,7574,4989,11429,35748,33039,25038,-34942,8391,11450
Net Cash Flow,480,1826,1666,662,11336,5199,2231,-18555,20895,17423,-27392
