,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,51.33,77.3,74.34,70.51,51.22,44.56,40.28,36.57,31.92,60.53,81.45,71.84,46.94
Expenses,42.49,60.73,59.59,56.97,42.08,37.45,35.36,31.19,29.2,53.55,74.26,66.53,45.94
Operating Profit,8.84,16.57,14.75,13.54,9.14,7.11,4.92,5.38,2.72,6.98,7.19,5.31,1.00
OPM %,17.22,21.44,19.84,19.2,17.84,15.96,12.21,14.71,8.52,11.53,8.83,7.39,2.13
Other Income,1.07,1.13,0.58,0.54,0.48,0.6,0.68,0.45,1.56,0.63,2.58,1.6,1.36
Interest,2.62,3.34,3.54,3.36,2.85,2.5,2.25,2.02,2.16,2.54,2.49,2.66,2.30
Depreciation,2.81,3.02,3.15,3.09,2.96,2.74,2.88,2.82,2.59,3.02,3.0,3.38,3.31
Profit before tax,4.48,11.34,8.64,7.63,3.81,2.47,0.47,0.99,-0.47,2.05,4.28,0.87,-3.25
Tax %,31.7,36.33,37.04,32.5,32.81,33.2,14.89,14.14,31.91,25.85,24.07,34.48,
Net Profit,3.05,7.21,5.44,5.15,2.55,1.65,0.4,0.86,-0.31,1.52,3.25,0.56,-2.85
EPS in Rs,1.87,4.42,3.34,3.16,1.56,1.01,0.25,0.53,-0.19,0.82,1.75,0.3,-1.52
