,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,51.0,56.0,56.0,60.0,101.0,109.0
Expenses,48.0,53.0,53.0,57.0,95.0,98.0
Operating Profit,2.0,3.0,3.0,3.0,6.0,11.0
OPM %,5.0,5.0,5.0,5.0,6.0,10.0
Other Income,0.0,0.0,0.0,1.0,2.0,2.0
Interest,1.0,1.0,2.0,2.0,2.0,2.0
Depreciation,0.0,1.0,0.0,1.0,1.0,1.0
Profit before tax,1.0,1.0,1.0,1.0,6.0,10.0
Tax %,10.0,8.0,41.0,9.0,25.0,24.0
Net Profit,1.0,1.0,0.0,1.0,5.0,8.0
EPS in Rs,50.76,61.02,27.0,73.43,248.92,413.07
