,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.15,15.91,25.64,29.24
Expenses,0.13,15.05,24.38,28.21
Operating Profit,0.02,0.86,1.26,1.03
OPM %,13.33,5.41,4.91,3.52
Other Income,0.0,0.03,0.03,0.43
Interest,0.0,0.11,0.21,0.40
Depreciation,0.0,0.27,0.45,0.61
Profit before tax,0.02,0.51,0.63,0.45
Tax %,-250.0,39.22,31.75,
Net Profit,0.07,0.3,0.44,0.30
EPS in Rs,0.93,4.0,1.66,1.28
