,2021-03-01,2022-03-01,2023-03-01
Debtor Days,0.0,100.25,72.6
Inventory Days,,25.35,36.54
Days Payable,,48.79,62.25
Cash Conversion Cycle,0.0,76.81,46.88
Working Capital Days,0.0,72.27,85.41
ROCE %,,22.46,11.16
