,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5.36,11.76,7.34,7.54,7.1,6.44,6.9,9.09,14.83,13.95,14.09,12.07,13.38
Expenses,5.09,11.22,6.89,7.23,6.82,6.08,6.45,8.57,14.07,13.03,13.01,11.31,12.59
Operating Profit,0.27,0.54,0.45,0.31,0.28,0.36,0.45,0.52,0.76,0.92,1.08,0.76,0.79
OPM %,5.04,4.59,6.13,4.11,3.94,5.59,6.52,5.72,5.12,6.59,7.67,6.3,5.90
Other Income,0.15,0.19,0.0,0.17,0.13,0.08,0.12,0.16,0.16,0.31,0.11,0.2,0.28
Interest,0.03,0.03,0.03,0.04,0.06,0.04,0.11,0.06,0.03,0.03,0.02,0.05,0.08
Depreciation,0.08,0.09,0.12,0.15,0.15,0.14,0.14,0.16,0.18,0.15,0.13,0.13,0.12
Profit before tax,0.31,0.61,0.3,0.29,0.2,0.26,0.32,0.46,0.71,1.05,1.04,0.78,0.87
Tax %,32.26,32.79,33.33,24.14,30.0,30.77,25.0,26.09,23.94,20.95,23.08,25.64,
Net Profit,0.21,0.42,0.2,0.22,0.14,0.18,0.25,0.35,0.55,0.83,0.8,0.58,0.65
EPS in Rs,0.7,1.4,0.67,0.74,0.47,0.6,0.84,1.17,1.84,2.78,2.68,1.94,2.17
