,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,995.0,1177.0,1252.0,1410.0,1463.0,1467.0,1378.0,1488.0,1607.0,1560.0,1643.0,1657.0,1770.0
Expenses,875.0,987.0,1055.0,1135.0,1178.0,1180.0,1157.0,1237.0,1304.0,1283.0,1372.0,1386.0,1440.0
Operating Profit,120.0,190.0,197.0,275.0,284.0,287.0,221.0,251.0,303.0,276.0,271.0,272.0,330.0
OPM %,12.0,16.0,16.0,20.0,19.0,20.0,16.0,17.0,19.0,18.0,16.0,16.0,19.0
Other Income,34.0,28.0,25.0,322.0,13.0,20.0,13.0,31.0,75.0,26.0,26.0,10.0,18.0
Interest,42.0,42.0,41.0,38.0,40.0,38.0,30.0,31.0,33.0,33.0,32.0,31.0,32.0
Depreciation,74.0,73.0,72.0,73.0,75.0,76.0,77.0,74.0,77.0,83.0,82.0,79.0,84.0
Profit before tax,38.0,103.0,110.0,486.0,182.0,193.0,126.0,176.0,268.0,186.0,183.0,171.0,233.0
Tax %,59.0,48.0,44.0,11.0,28.0,27.0,31.0,24.0,19.0,24.0,25.0,27.0,21.0
Net Profit,15.0,54.0,62.0,431.0,131.0,142.0,87.0,134.0,218.0,142.0,138.0,124.0,184.0
EPS in Rs,-0.05,0.4,0.57,3.49,1.42,1.55,0.9,1.62,2.71,1.72,1.76,1.48,2.3
