,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,957.0,1194.0,1340.0,1020.0,1722.0,2266.0,2454
Expenses,942.0,1155.0,1155.0,894.0,1417.0,1836.0,2002
Operating Profit,15.0,39.0,186.0,125.0,305.0,430.0,451
OPM %,2.0,3.0,14.0,12.0,18.0,19.0,18
Other Income,2.0,9.0,-83.0,61.0,38.0,30.0,33
Interest,2.0,18.0,72.0,76.0,78.0,87.0,94
Depreciation,55.0,74.0,191.0,209.0,214.0,264.0,290
Profit before tax,-40.0,-44.0,-161.0,-99.0,51.0,108.0,101
Tax %,-3.0,-3.0,1.0,-1.0,11.0,-115.0,
Net Profit,-41.0,-45.0,-159.0,-100.0,46.0,233.0,208
EPS in Rs,-9.85,-10.36,-31.35,-18.65,7.31,36.73,32.80
