,2023-03-01
Depreciation,0.01
EPS in Rs,0.39
Expenses,6.08
Interest,0.1
Net Profit,1.26
OPM %,20.73
Operating Profit,1.59
Other Income,0.25
Profit before tax,1.73
Sales,7.67
Tax %,27.75
