,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,9.4,2.6,9.24,1.89,3.82,2.8,2.8,-0.00,-0.00,-0.00
Expenses,9.41,2.55,8.78,1.68,5.13,6.08,6.08,0.07,0.23,0.05
Operating Profit,-0.01,0.05,0.46,0.21,-1.31,-3.28,-3.28,-0.07,-0.23,-0.05
OPM %,-0.11,1.92,4.98,11.11,-34.29,-117.14,-117.14,,,
Other Income,0.02,-0.0,-0.1,0.01,0.01,0.12,0.12,-0.00,-0.00,-0.00
Interest,-0.0,-0.0,-0.0,0.03,-0.03,-0.0,-0.0,-0.00,-0.00,-0.00
Depreciation,0.23,-0.0,0.37,0.15,0.15,0.13,0.13,0.05,0.05,0.04
Profit before tax,-0.22,0.05,-0.01,0.04,-1.42,-3.29,-3.29,-0.12,-0.28,-0.09
Tax %,-4.55,-0.0,-200.0,25.0,-1.41,-0.0,-0.0,-0.00,-0.00,-0.00
Net Profit,-0.24,0.05,-0.03,0.03,-1.44,-3.28,-3.28,-0.12,-0.29,-0.09
EPS in Rs,-0.26,0.05,-0.03,0.03,-1.57,-3.57,-3.57,-0.13,-0.32,-0.10
