,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,75.29,41.88,64.73,58.85,121.44,116.56,140.32
Expenses,69.08,37.95,51.88,54.34,111.54,107.44,131.12
Operating Profit,6.21,3.93,12.85,4.51,9.9,9.12,9.2
OPM %,8.25,9.38,19.85,7.66,8.15,7.82,6.56
Other Income,0.46,0.05,0.48,0.32,0.16,0.4,0.34
Interest,0.56,0.96,0.59,0.77,1.97,1.12,1.39
Depreciation,1.35,0.0,2.54,1.93,1.93,1.49,1.51
Profit before tax,4.76,3.02,10.2,2.13,6.16,6.91,6.64
Tax %,25.21,25.17,23.92,36.62,24.19,25.18,24.1
Net Profit,3.56,2.26,7.76,1.36,4.67,5.17,5.04
EPS in Rs,0.98,0.62,2.13,0.37,0.84,0.93,0.91
