,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,21,17,32,20
Cash from Investing Activity,-7,1,-17,-21
Cash from Financing Activity,-15,-14,-5,66
Net Cash Flow,0,5,10,65
