,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,194.0,210.0,186.0,287.0,437
Expenses,169.0,187.0,161.0,255.0,404
Operating Profit,24.0,23.0,24.0,31.0,33
OPM %,13.0,11.0,13.0,11.0,7
Other Income,1.0,-1.0,1.0,1.0,1
Interest,5.0,5.0,3.0,4.0,5
Depreciation,6.0,5.0,5.0,6.0,7
Profit before tax,14.0,12.0,16.0,22.0,22
Tax %,26.0,24.0,24.0,25.0,
Net Profit,10.0,9.0,12.0,16.0,16
EPS in Rs,2.87,2.55,3.39,2.9,3.05
