,2023-09-01
Depreciation,32.0
EPS in Rs,13.33
Expenses,478.0
Interest,7.0
Net Profit,119.0
OPM %,29.0
Operating Profit,195.0
Other Income,3.0
Profit before tax,159.0
Sales,673.0
Tax %,25.0
