,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8,9,9,9,18,18,18.0
Reserves,176,470,550,636,770,970,
Borrowings,301,156,105,150,240,219,
Other Liabilities,92,85,100,79,102,119,
Total Liabilities,576,719,763,874,1130,1326,
Fixed Assets,285,291,275,415,456,678,
CWIP,9,46,109,40,212,75,
Investments,0,30,0,0,0,0,
Other Assets,282,352,378,419,461,573,
Total Assets,576,719,763,874,1130,1326,
