,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Promoters,69.19,69.19,69.19,69.19,69.19,69.19,69.19
Public,30.81,30.81,30.81,30.81,30.81,30.81,30.82
No. of Shareholders,426.0,400.0,404.0,408.0,406.0,441.0,467.0
