,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,77.25,107.49,78.94,82.86,69.3,79.32,35.64,30.13,18.47,9.12,9.57,0.77,0.73
Expenses,76.81,103.19,76.42,81.53,69.1,77.28,36.07,29.69,20.01,9.29,10.18,1.76,1.57
Operating Profit,0.44,4.3,2.52,1.33,0.2,2.04,-0.43,0.44,-1.54,-0.17,-0.61,-0.99,-0.84
OPM %,0.57,4.0,3.19,1.61,0.29,2.57,-1.21,1.46,-8.34,-1.86,-6.37,-128.57,-115.07
Other Income,3.21,0.7,0.78,0.82,2.04,4.67,0.84,0.37,3.18,1.77,1.69,-0.97,-0.85
Interest,2.34,2.03,1.65,1.61,1.78,1.63,1.54,1.69,1.08,1.22,0.6,0.59,0.30
Depreciation,2.92,2.92,1.56,0.39,0.36,0.39,0.49,0.52,0.54,0.53,0.44,0.27,0.18
Profit before tax,-1.61,0.05,0.09,0.15,0.1,4.69,-1.62,-1.4,0.02,-0.15,0.04,-2.82,-2.17
Tax %,31.06,100.0,88.89,73.33,70.0,52.45,16.05,25.0,-1250.0,-300.0,-2650.0,21.28,
Net Profit,-1.11,0.01,0.02,0.05,0.03,2.23,-1.35,-1.05,0.26,-0.61,1.1,-2.22,-1.58
EPS in Rs,-0.27,0.0,0.0,0.01,0.01,0.55,-1.47,-1.15,0.28,-0.67,1.2,-2.42,-1.72
