,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,55,55,55,58,61,64,64,64,64,64,64,64,64
Reserves,3667,3612,3513,5332,5061,5322,5432,6218,6700,6919,7300,7859,8967
Borrowings,3587,5159,5989,8102,7547,6222,6311,5692,5649,5335,6031,4922,6174
Other Liabilities,2016,1886,1858,2507,1676,1248,1389,2807,2669,3497,3048,5016,5048
Total Liabilities,9325,10713,11416,15999,14346,12856,13197,14781,15082,15815,16443,17861,20253
Fixed Assets,2800,4247,5843,8239,7977,7455,7120,7163,7491,7316,7357,7372,8765
CWIP,1502,1410,343,531,254,102,126,260,423,404,293,300,464
Investments,45,154,75,309,154,119,110,190,129,198,224,251,251
Other Assets,4979,4903,5155,6921,5961,5180,5840,7169,7039,7898,8570,9939,10772
Total Assets,9325,10713,11416,15999,14346,12856,13197,14781,15082,15815,16443,17861,20253
