,Dec 2010,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.66
Expenses,0.03,0.01,0.01,0.02,0.04,0.06,0.06,0.14,0.07,0.06,0.19,0.56,3.19
Operating Profit,-0.03,-0.01,-0.01,-0.02,-0.04,-0.06,-0.06,-0.14,-0.07,-0.06,-0.19,-0.56,0.47
OPM %,,,,,,,,,,,,,12.84
Other Income,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.17,0.00,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
Profit before tax,-0.03,-0.01,-0.01,-0.02,-0.04,-0.06,-0.05,-0.14,-0.07,-0.06,-0.02,-0.56,0.26
Tax %,-33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Net Profit,-0.04,-0.01,-0.01,-0.02,-0.04,-0.06,-0.05,-0.14,-0.07,-0.06,-0.02,-0.56,0.16
EPS in Rs,,,,,,,,,,,,,
