,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,80.0,52,269,57,57,66,63,85,41,110
Inventory Days,0.0,610,0,69,98,69,117,63,44,211
Days Payable,,50,,2,33,0,5,1,17,34
Cash Conversion Cycle,80.0,612,269,125,122,134,175,146,68,287
Working Capital Days,-8.0,536,264,117,122,113,165,145,71,262
ROCE %,,0,0,11,7,8,9,15,16,6
