,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,3,3,3,3,3,3,3,3,3,3
Reserves,38,38,38,42,44,45,47,42,47,49,50
Borrowings,0,0,0,57,72,67,83,192,107,193,200
Other Liabilities,1,0,0,27,46,42,37,60,111,109,142
Total Liabilities,39,42,42,130,165,158,169,296,268,354,395
Fixed Assets,0,0,0,30,32,32,29,27,30,51,50
CWIP,0,0,0,0,0,0,0,1,15,0,1
Investments,34,39,39,27,26,26,0,0,0,0,0
Other Assets,5,3,3,72,107,100,140,268,224,302,343
Total Assets,39,42,42,130,165,158,169,296,268,354,395
