,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,0,-3,0,-1,-1,11,-36,-98,115,-71
Cash from Investing Activity,-39,0,0,4,11,-7,25,-2,-20,-11
Cash from Financing Activity,39,3,0,-2,-5,-6,10,102,-92,78
Net Cash Flow,0,0,0,0,4,-3,-1,3,3,-4
