,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4
Reserves,0.47,0.54,-0.14,0.02,0.05,-0.17,-0.56,-0.8200000000000001,-0.77,0.26,0.91
Borrowings,0.0,0.0,0.0,0.0,0.0,1.15,2.16,0.71,0.0,2.99,0.0
Other Liabilities,0.07,0.06,0.6000000000000001,0.13,0.04,0.04,0.03,0.09,0.17,0.16,7.75
Total Liabilities,12.94,13.0,12.86,12.55,12.49,13.42,14.03,12.38,11.8,15.81,21.06
Fixed Assets,0.07,0.05,0.03,0.01,0.0,0.0,0.0,0.0,0.03,0.35,0.6000000000000001
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,12.87,12.95,12.83,12.54,12.49,13.42,14.03,12.38,11.77,15.46,20.46
Total Assets,12.94,13.0,12.86,12.55,12.49,13.42,14.03,12.38,11.8,15.81,21.06
