,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01
Equity Capital,5.98,5.98,5.98,5.98,5.98,5.98,5.98,7.18,7.18,7.18,7.18,7.18
Reserves,-7.0,-7.11,-7.12,-7.12,-7.17,-7.27,-7.16,-6.52,-6.82,-6.82,-6.55,-6.6
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.06,0.32
Other Liabilities,1.19,1.21,1.22,1.16,1.21,1.89,1.88,0.09,0.25,0.25,0.34,0.48
Total Liabilities,0.17,0.08,0.08,0.02,0.02,0.6000000000000001,0.7000000000000001,0.8200000000000001,0.61,0.61,1.03,1.38
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.0,0.0,0.0,0.0,0.0
Other Assets,0.16,0.07,0.07,0.01,0.01,0.59,0.59,0.8200000000000001,0.61,0.61,1.03,1.38
Total Assets,0.17,0.08,0.08,0.02,0.02,0.6000000000000001,0.7000000000000001,0.8200000000000001,0.61,0.61,1.03,1.38
