,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,2.74,2.74,4.5600000000000005,4.5600000000000005,4.5600000000000005
Reserves,-0.02,0.0,0.26,0.26,0.45,0.52,0.65
Borrowings,0.03,0.03,0.02,0.0,0.0,0.0,0.0
Other Liabilities,0.0,0.01,6.33,3.33,0.37,0.37,0.05
Total Liabilities,0.02,0.05,9.35,6.33,5.38,5.45,5.26
Fixed Assets,0.0,0.0,0.0,0.05,0.03,0.01,0.01
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.02,0.05,9.35,6.28,5.35,5.44,5.25
Total Assets,0.02,0.05,9.35,6.33,5.38,5.45,5.26
