,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,6,6,6,6,6,6,6,6,6,6,6,6
Reserves,144,174,204,207,218,736,1011,1168,796,1061,905,905
Borrowings,5,1,4,73,30,11,0,80,161,125,94,14
Other Liabilities,47,57,59,62,60,55,76,88,95,71,63,76
Total Liabilities,202,238,273,348,314,807,1093,1342,1058,1263,1068,1001
Fixed Assets,118,110,117,187,180,178,170,166,372,342,338,327
CWIP,3,3,41,4,3,2,6,75,0,3,4,3
Investments,25,60,13,13,10,538,762,750,492,746,655,587
Other Assets,57,64,102,144,121,90,156,350,193,172,71,85
Total Assets,202,238,273,348,314,807,1093,1342,1058,1263,1068,1001
