,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.19,0.19,1.88,4.78,5.26,10.04,10.04,10.04,10.47
Reserves,0.05,0.1,1.66,4.59,5.3,2.13,5.85,10.44,21.85
Borrowings,1.15,1.33,1.05,5.27,5.2,7.07,9.15,11.37,19.69
Other Liabilities,0.8200000000000001,0.94,2.37,2.87,3.08,2.51,4.66,6.91,6.48
Total Liabilities,2.21,2.56,6.96,17.51,18.84,21.75,29.7,38.76,58.49
Fixed Assets,0.1,0.12,1.45,8.71,9.29,12.88,14.85,18.92,21.01
CWIP,0.0,0.0,0.0,0.0,0.36,0.5,0.76,0.41,4.53
Investments,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
Other Assets,2.11,2.44,5.51,8.76,9.19,8.37,14.09,19.43,32.95
Total Assets,2.21,2.56,6.96,17.51,18.84,21.75,29.7,38.76,58.49
