,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.31,4.8,11.77,17.55,21.4,24.96,37.74,55.85,59.26
Expenses,3.17,4.55,10.21,15.51,18.33,21.49,31.88,46.31,49.27
Operating Profit,0.14,0.25,1.56,2.04,3.07,3.47,5.86,9.54,9.99
OPM %,4.23,5.21,13.25,11.62,14.35,13.9,15.53,17.08,16.86
Other Income,0.01,0.0,0.02,0.03,0.04,0.06,0.04,0.06,0.08
Interest,0.08,0.17,0.14,0.29,0.59,0.44,0.19,1.01,1.16
Depreciation,0.01,0.01,0.1,0.2,0.55,0.63,0.85,1.15,1.31
Profit before tax,0.06,0.07,1.34,1.58,1.97,2.46,4.86,7.44,7.60
Tax %,33.33,28.57,29.85,32.28,31.47,21.54,23.66,27.28,
Net Profit,0.04,0.05,0.93,1.06,1.34,1.93,3.71,5.4,5.71
EPS in Rs,1.0,1.25,2.32,1.06,1.34,1.92,3.69,5.38,5.63
