,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,2,11,11,11,12,13,26,26
Reserves,156,221,341,396,490,646,1028,1078,1150
Borrowings,0,0,8,9,8,1,4,38,109
Other Liabilities,41,42,105,92,243,359,358,555,662
Total Liabilities,200,265,465,509,752,1018,1404,1698,1947
Fixed Assets,2,2,152,137,327,296,424,583,598
CWIP,0,0,1,1,6,2,1,0,0
Investments,55,77,98,127,58,118,442,332,367
Other Assets,142,187,214,243,360,601,537,783,982
Total Assets,200,265,465,509,752,1018,1404,1698,1947
