,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,211.0,190.0,172.0,170.0,248.0,454.0,622.0,1091.0,1156
Expenses,135.0,129.0,123.0,154.0,255.0,415.0,536.0,989.0,1041
Operating Profit,76.0,61.0,49.0,15.0,-7.0,39.0,86.0,102.0,114
OPM %,36.0,32.0,28.0,9.0,-3.0,9.0,14.0,9.0,10
Other Income,8.0,12.0,-26.0,16.0,15.0,14.0,24.0,47.0,45
Interest,0.0,0.0,2.0,1.0,1.0,1.0,1.0,6.0,7
Depreciation,1.0,1.0,8.0,20.0,26.0,36.0,39.0,57.0,61
Profit before tax,83.0,72.0,13.0,11.0,-20.0,17.0,70.0,87.0,91
Tax %,22.0,15.0,92.0,38.0,-37.0,18.0,27.0,29.0,
Net Profit,65.0,61.0,1.0,7.0,-27.0,14.0,51.0,61.0,75
EPS in Rs,161.3,152.58,0.5,3.19,-0.38,1.51,4.36,5.95,8.83
