,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,42.38,46.56,51.36,53.26,52.99,52.49,45.8,38.53,31.45,8.23,6.84,13.99,12.70
Expenses,35.89,41.07,44.38,46.12,46.01,43.97,40.88,33.89,29.69,9.29,9.01,15.32,14.48
Operating Profit,6.49,5.49,6.98,7.14,6.98,8.52,4.92,4.64,1.76,-1.06,-2.17,-1.33,-1.78
OPM %,15.31,11.79,13.59,13.41,13.17,16.23,10.74,12.04,5.6,-12.88,-31.73,-9.51,-14.02
Other Income,-0.25,1.7,0.92,0.58,0.44,0.77,1.27,0.06,-0.51,0.97,2.05,2.5,3.43
Interest,2.08,2.54,3.15,4.39,6.14,6.13,5.94,5.28,4.34,3.72,3.74,3.75,3.01
Depreciation,0.59,0.64,0.81,2.87,3.13,3.17,3.18,3.22,2.92,2.31,1.79,1.69,1.60
Profit before tax,3.57,4.01,3.94,0.46,-1.85,-0.01,-2.93,-3.8,-6.01,-6.12,-5.65,-4.27,-2.96
Tax %,33.33,34.41,32.74,71.74,-66.49,-16800.0,48.12,-0.26,10.32,8.99,1.24,0.7,
Net Profit,2.38,2.63,2.65,0.13,-3.08,-1.69,-1.52,-3.82,-5.39,-5.57,-5.58,-4.24,-3.47
EPS in Rs,1.46,1.61,1.62,0.08,-1.89,-1.04,-0.93,-2.34,-3.3,-3.42,-3.42,-2.6,-2.12
