,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,36.07,36.07,36.07,36.07,36.07,36.07,21.01,21.01
Public,63.93,63.93,63.93,63.93,63.93,63.93,79.0,78.99
No. of Shareholders,919.0,922.0,927.0,931.0,939.0,1500.0,1570.0,1674.0
