,2023-03-01,2023-09-01
Sales,12.29,15.09
Expenses,7.04,8.03
Operating Profit,5.25,7.06
OPM %,42.72,46.79
Other Income,0.01,0.04
Interest,0.8,0.69
Depreciation,1.54,2.41
Profit before tax,2.92,4.0
Tax %,29.45,35.0
Net Profit,2.06,2.61
EPS in Rs,0.98,1.24
