,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.02,4.81,23.58,27.38
Expenses,0.15,0.01,2.79,13.28,15.07
Operating Profit,-0.15,0.01,2.02,10.3,12.31
OPM %,,50.0,42.0,43.68,44.96
Other Income,0.00,0.0,0.0,-0.04,0.05
Interest,0.00,0.0,0.31,1.45,1.49
Depreciation,0.00,0.0,0.66,2.96,3.95
Profit before tax,-0.15,0.01,1.05,5.85,6.92
Tax %,0.00,0.0,27.62,28.89,
Net Profit,-0.15,0.01,0.76,4.17,4.67
EPS in Rs,-9.71,0.65,34.55,1.99,2.22
