,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,50.75,57.53,56.15,62.39,66.42,68.16,72.43,71.87,67.28,19.62,31.95,61.46,67.27
Expenses,38.71,46.0,44.92,50.87,54.21,55.62,60.43,59.14,56.29,20.68,30.44,47.34,53.59
Operating Profit,12.04,11.53,11.23,11.52,12.21,12.54,12.0,12.73,10.99,-1.06,1.51,14.12,13.68
OPM %,23.72,20.04,20.0,18.46,18.38,18.4,16.57,17.71,16.33,-5.4,4.73,22.97,20.34
Other Income,2.97,0.39,0.4,0.69,0.51,-0.94,-0.36,0.62,0.14,0.72,0.83,4.1,2.15
Interest,3.27,3.91,3.66,3.24,2.56,1.78,1.24,0.61,0.64,0.48,0.47,0.24,0.27
Depreciation,2.45,3.02,3.51,5.01,4.43,4.5,3.6,3.47,4.58,3.72,2.57,2.57,2.53
Profit before tax,9.29,4.99,4.46,3.96,5.73,5.32,6.8,9.27,5.91,-4.54,-0.7,15.41,13.03
Tax %,23.25,21.24,137.44,27.02,57.59,41.17,24.41,32.15,27.41,9.69,-14.29,19.08,
Net Profit,7.13,3.93,-1.67,2.89,2.43,3.14,5.13,6.28,4.28,-4.1,-0.8,12.47,9.79
EPS in Rs,5.98,3.29,-1.4,2.42,2.04,2.63,4.3,5.26,3.59,-3.44,-0.67,10.45,8.21
