,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,61.73,64.54,52.33,42.6,47.27,65.4,57.89
Expenses,58.48,61.65,51.97,43.32,48.93,63.77,56.74
Operating Profit,3.25,2.89,0.36,-0.72,-1.66,1.63,1.15
OPM %,5.26,4.48,0.69,-1.69,-3.51,2.49,1.99
Other Income,0.35,0.13,0.62,0.34,0.73,0.65,0.29
Interest,1.12,1.27,0.85,0.93,0.73,1.5,1.61
Depreciation,1.7,1.44,1.41,1.39,1.56,2.02,2.07
Profit before tax,0.78,0.31,-1.28,-2.7,-3.22,-1.24,-2.24
Tax %,29.49,-3.23,24.22,24.81,65.84,0.0,1.34
Net Profit,0.55,0.32,-0.97,-2.03,-1.1,-1.24,-2.21
EPS in Rs,0.97,0.56,-1.71,-3.57,-1.94,-2.18,-3.89
