,Mar 2022,Mar 2023,TTM
Sales,230.0,207.0,213
Expenses,217.0,206.0,213
Operating Profit,13.0,1.0,0
OPM %,6.0,0.0,0
Other Income,36.0,2.0,2
Interest,5.0,4.0,5
Depreciation,6.0,6.0,7
Profit before tax,39.0,-7.0,-9
Tax %,17.0,45.0,
Net Profit,32.0,-4.0,-7
EPS in Rs,56.27,-6.65,-11.58
