,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.24
Expenses,0.02,0.02,0.02,0.04,0.05,0.05,0.06,0.08,0.08,0.08,0.08,0.55,1.35
Operating Profit,-0.02,-0.02,-0.02,-0.04,-0.05,-0.05,-0.06,-0.08,-0.08,-0.08,-0.08,-0.55,-1.11
OPM %,,,,,,,,,,,,,-462.50
Other Income,0.00,0.03,0.02,0.03,0.03,0.03,0.03,0.08,0.00,0.00,0.00,0.50,3.04
Interest,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.11,0.44
Depreciation,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.0,0.01,0.01,0.01,0.01,0.03
Profit before tax,-0.02,0.01,0.0,-0.01,-0.02,-0.02,-0.03,0.0,-0.09,-0.09,-0.09,-0.17,1.46
Tax %,100.00,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,
Net Profit,-0.01,0.01,0.0,-0.01,-0.02,-0.02,-0.03,0.0,-0.09,-0.09,-0.09,-0.17,1.47
EPS in Rs,,,,,,,,,,,,,
