,Mar 2012,Mar 2013,Mar 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.0
Expenses,0.17,0.22,0.12,0.22,0.23,0.23,0.45,0.53,0.29,0.49,0.09,0.13,0.12
Operating Profit,-0.17,-0.22,-0.12,-0.22,-0.23,-0.23,-0.45,-0.53,-0.29,-0.49,-0.09,-0.13,-0.12
OPM %,,,,,,,,,,,,,
Other Income,0.33,0.43,0.19,0.15,0.13,0.16,5.59,2.81,0.43,0.13,0.09,0.10,0.09
Interest,0.00,0.00,0.00,0.01,0.00,0.01,0.06,0.00,0.00,0.00,0.0,0.00,0.0
Depreciation,0.08,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.0
Profit before tax,0.08,0.19,0.06,-0.08,-0.10,-0.08,5.08,2.28,0.14,-0.36,0.0,-0.03,-0.03
Tax %,25.00,21.05,16.67,0.00,0.00,0.00,18.31,26.75,64.29,0.00,,0.00,
Net Profit,0.06,0.15,0.04,-0.09,-0.10,-0.08,4.15,1.67,0.06,-0.36,0.0,-0.03,-0.03
EPS in Rs,0.04,0.10,0.03,-0.06,-0.07,-0.05,2.83,1.14,0.04,-0.25,0.0,-0.02,-0.01
