,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,879.0,792.0,744.0,718.0,934.0,816.0,810.0,745.0,917.0,802.0,787.0,762.0,957.0
Expenses,674.0,611.0,588.0,586.0,678.0,618.0,634.0,596.0,660.0,574.0,618.0,618.0,668.0
Operating Profit,205.0,181.0,157.0,133.0,256.0,198.0,175.0,149.0,257.0,229.0,170.0,144.0,289.0
OPM %,23.0,23.0,21.0,18.0,27.0,24.0,22.0,20.0,28.0,29.0,22.0,19.0,30.0
Other Income,-55.0,42.0,-79.0,46.0,30.0,4.0,1322.0,31.0,22.0,12.0,38.0,54.0,28.0
Interest,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Depreciation,22.0,18.0,18.0,18.0,17.0,18.0,15.0,16.0,16.0,16.0,17.0,16.0,18.0
Profit before tax,127.0,204.0,60.0,160.0,268.0,184.0,1482.0,163.0,262.0,224.0,190.0,181.0,299.0
Tax %,40.0,23.0,76.0,24.0,24.0,18.0,18.0,27.0,26.0,27.0,30.0,27.0,27.0
Net Profit,76.0,157.0,14.0,121.0,204.0,150.0,1219.0,119.0,193.0,165.0,133.0,132.0,218.0
EPS in Rs,4.51,9.24,0.85,7.15,12.06,8.88,71.96,7.04,11.42,9.71,7.88,7.81,12.84
