,Sep 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1004.0,245.0,514.0,564.0,537.0,525.0,493.0,643.0,550.0,678.0,933.0,1006.0,979
Expenses,903.0,242.0,473.0,517.0,497.0,509.0,450.0,576.0,507.0,583.0,793.0,883.0,850
Operating Profit,101.0,4.0,41.0,47.0,41.0,16.0,44.0,67.0,42.0,96.0,140.0,123.0,129
OPM %,10.0,1.0,8.0,8.0,8.0,3.0,9.0,10.0,8.0,14.0,15.0,12.0,13
Other Income,-21.0,11.0,15.0,21.0,40.0,12.0,12.0,-2.0,13.0,2.0,1.0,3.0,3
Interest,94.0,19.0,35.0,35.0,50.0,31.0,18.0,17.0,18.0,13.0,12.0,18.0,21
Depreciation,85.0,8.0,16.0,19.0,17.0,16.0,14.0,19.0,15.0,15.0,17.0,19.0,20
Profit before tax,-100.0,-13.0,4.0,14.0,14.0,-19.0,24.0,29.0,22.0,69.0,112.0,89.0,91
Tax %,-8.0,0.0,0.0,4.0,4.0,-4.0,29.0,42.0,51.0,29.0,25.0,31.0,
Net Profit,-107.0,-13.0,1.0,14.0,13.0,-20.0,17.0,17.0,11.0,49.0,83.0,61.0,63
EPS in Rs,-87.36,-10.3,0.78,11.58,10.83,-16.25,14.01,13.7,8.77,40.03,68.06,49.83,51.58
