,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,65.4,65.18,60.8,60.73
FIIs,5.74,5.73,8.52,10.26
DIIs,1.75,3.68,4.98,1.76
Public,27.11,25.41,25.68,27.25
No. of Shareholders,160298.0,65071.0,66507.0,61129.0
