,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,502.0,529.0,811.0,1074.0,1602.0,1651
Expenses,408.0,394.0,617.0,769.0,1171.0,1213
Operating Profit,93.0,135.0,194.0,305.0,431.0,437
OPM %,19.0,25.0,24.0,28.0,27.0,26
Other Income,19.0,11.0,26.0,8.0,10.0,37
Interest,24.0,45.0,69.0,31.0,63.0,73
Depreciation,23.0,29.0,52.0,60.0,71.0,76
Profit before tax,66.0,72.0,100.0,222.0,308.0,326
Tax %,24.0,26.0,30.0,31.0,30.0,
Net Profit,49.0,53.0,70.0,152.0,217.0,228
EPS in Rs,9.85,10.64,7.04,15.18,16.84,16.65
