,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.88,1.7,3.86,11.7,4.45,12.41,10.15,3.7,-0.40,19.62,24.53,4.32,14.59
Expenses,1.3,1.31,1.71,1.81,2.26,2.64,3.76,3.36,3.73,4.61,5.53,5.7,8.94
Operating Profit,0.58,0.39,2.15,9.89,2.19,9.77,6.39,0.34,-4.13,15.01,19.0,-1.38,5.65
OPM %,30.85,22.94,55.7,84.53,49.21,78.73,62.96,9.19,,76.5,77.46,-31.94,38.73
Other Income,0.01,0.0,0.0,0.0,1.54,0.04,0.1,0.06,0.05,0.02,0.03,0.18,1.97
Interest,0.04,0.06,0.06,0.05,0.07,0.13,0.15,0.25,0.19,0.95,1.66,1.13,1.87
Depreciation,0.13,0.27,0.5,0.47,0.46,0.48,0.47,0.45,0.40,0.41,0.37,0.34,0.50
Profit before tax,0.42,0.06,1.59,9.37,3.2,9.2,5.87,-0.3,-4.67,13.67,17.0,-2.67,5.25
Tax %,69.05,466.67,29.56,29.35,24.38,25.0,28.28,10.0,-10.49,10.53,23.65,-28.46,
Net Profit,0.14,-0.14,1.11,6.61,2.41,6.9,4.21,-0.21,-3.83,12.22,12.98,-3.43,3.71
EPS in Rs,0.84,-0.24,1.4,8.43,2.89,11.89,5.36,-0.36,-6.60,15.72,22.37,-5.91,5.07
