,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,24,28,28,28,30,32,35,35,35,35,35,38,39
Reserves,18,16,18,11,15,24,38,58,81,95,132,175,213
Borrowings,90,102,114,110,103,134,138,119,98,94,104,104,108
Other Liabilities,19,19,24,24,23,21,57,58,44,38,55,61,63
Total Liabilities,151,166,184,174,171,211,268,271,258,262,327,378,424
Fixed Assets,92,90,94,92,92,93,162,168,167,168,177,197,194
CWIP,0,0,0,1,0,10,2,0,5,6,18,17,27
Investments,0,0,0,0,0,0,0,0,0,0,4,9,9
Other Assets,59,76,89,80,78,107,104,103,86,88,128,155,194
Total Assets,151,166,184,174,171,211,268,271,258,262,327,378,424
