,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,0.0,0.00,0.00,3.71
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,0.0,0.00,0.00,3.71
Working Capital Days,-18.25,18.07,224.97,176.02
ROCE %,,0.00,7.39,5.61
