,2021-09-01,2022-09-01,2023-09-01
Sales,0.61,1.01,1.11
Expenses,0.6,0.82,1.08
Operating Profit,0.01,0.19,0.03
OPM %,1.64,18.81,2.7
Other Income,0.05,0.09,0.17
Interest,0.0,0.0,0.0
Depreciation,0.04,0.04,0.04
Profit before tax,0.02,0.24,0.16
Tax %,50.0,29.17,25.0
Net Profit,0.02,0.17,0.12
EPS in Rs,0.99,0.85,0.43
