,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.94,6.94,6.94,6.94,6.94,18.88,18.88,18.88,18.92,19.22,19.36,19.36
Reserves,17.1,26.13,28.32,21.13,12.06,11.23,5.28,5.75,7.1,8.04,12.18,15.25
Borrowings,15.11,9.38,9.01,17.7,17.54,15.92,12.82,11.03,6.23,6.63,5.71,7.8
Other Liabilities,17.75,18.78,18.93,16.76,23.16,27.44,26.38,21.58,25.73,26.43,32.85,31.34
Total Liabilities,56.9,61.23,63.2,62.53,59.7,73.47,63.36,57.24,57.98,60.32,70.1,73.75
Fixed Assets,20.34,27.46,21.82,17.44,20.09,18.8,32.57,26.61,21.64,17.18,13.92,14.81
CWIP,8.3,0.0,8.36,20.08,17.69,17.33,0.0,0.33,0.0,0.39,1.61,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,28.26,33.77,33.02,25.01,21.92,37.34,30.79,30.3,36.34,42.75,54.57,58.94
Total Assets,56.9,61.23,63.2,62.53,59.7,73.47,63.36,57.24,57.98,60.32,70.1,73.75
