,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.04,0.05,0.69,1.12,1.34,1.68,1.11,1.59,1.49,1.56,1.4,1.63
Expenses,0.07,3.9,0.54,0.75,0.88,1.38,1.00,1.39,1.16,1.41,1.3,1.24
Operating Profit,-0.03,-3.85,0.15,0.37,0.46,0.3,0.11,0.2,0.33,0.15,0.1,0.39
OPM %,-75.0,-7700.0,21.74,33.04,34.33,17.86,9.91,12.58,22.15,9.62,7.14,23.93
Other Income,0.0,0.18,0.03,0.02,0.01,0.07,0.00,0.0,0.0,0.0,0.03,0.01
Interest,0.0,0.31,0.06,0.11,0.09,0.11,0.06,0.07,0.06,0.06,0.06,0.06
Depreciation,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.05,0.05,0.05,0.05,0.05
Profit before tax,-0.03,-3.98,0.12,0.28,0.37,0.22,0.00,0.08,0.22,0.04,0.02,0.29
Tax %,0.0,-0.25,0.0,0.0,-2.7,-136.36,,-62.5,18.18,0.0,350.0,24.14
Net Profit,-0.03,-3.99,0.12,0.27,0.37,0.52,-0.28,0.14,0.17,0.03,-0.04,0.22
EPS in Rs,-0.0,-0.5,0.02,0.03,0.05,0.06,-0.03,0.02,0.02,0.0,-0.0,0.03
