,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,182.0,224.0,209.0,272.0,295.0,332.0,323
Expenses,163.0,206.0,198.0,257.0,276.0,310.0,295
Operating Profit,20.0,18.0,11.0,15.0,19.0,22.0,28
OPM %,11.0,8.0,5.0,6.0,6.0,7.0,9
Other Income,1.0,0.0,1.0,1.0,1.0,1.0,2
Interest,2.0,3.0,5.0,5.0,7.0,8.0,7
Depreciation,2.0,3.0,3.0,2.0,3.0,3.0,2
Profit before tax,16.0,12.0,4.0,8.0,9.0,13.0,20
Tax %,31.0,26.0,43.0,38.0,38.0,44.0,
Net Profit,12.0,11.0,3.0,6.0,8.0,18.0,23
EPS in Rs,21.63,19.15,5.92,11.54,14.48,33.12,41.93
