,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,3,4,4,11,14,15,15,15,15,16,16,16
Reserves,8,9,11,24,64,91,223,298,299,109,-33,-143
Borrowings,27,31,38,33,98,90,218,282,280,311,408,381
Other Liabilities,13,20,18,26,49,99,137,121,106,140,45,61
Total Liabilities,51,63,70,95,225,295,593,717,699,576,436,315
Fixed Assets,5,6,5,8,17,17,160,165,171,160,149,132
CWIP,0,0,0,0,2,2,4,4,6,3,3,3
Investments,0,0,0,0,0,12,0,0,0,0,0,0
Other Assets,46,57,64,87,206,264,428,548,522,412,285,180
Total Assets,51,63,70,95,225,295,593,717,699,576,436,315
