,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,73.0,89.0,105.0,136.0,240.0,307.0,560.0,637.0,498.0,202.0,68.0,22.0
Expenses,66.0,81.0,97.0,121.0,207.0,264.0,492.0,564.0,450.0,227.0,153.0,41.0
Operating Profit,6.0,8.0,8.0,14.0,33.0,43.0,68.0,73.0,48.0,-25.0,-85.0,-19.0
OPM %,9.0,9.0,8.0,11.0,14.0,14.0,12.0,11.0,10.0,-12.0,-126.0,-85.0
Other Income,0.0,1.0,1.0,2.0,2.0,5.0,11.0,14.0,14.0,-136.0,-42.0,-89.0
Interest,3.0,5.0,6.0,6.0,8.0,14.0,29.0,34.0,40.0,45.0,44.0,1.0
Depreciation,1.0,1.0,1.0,1.0,1.0,1.0,10.0,12.0,12.0,12.0,10.0,9.0
Profit before tax,2.0,2.0,3.0,9.0,25.0,33.0,39.0,41.0,10.0,-218.0,-181.0,-117.0
Tax %,9.0,32.0,37.0,31.0,31.0,33.0,34.0,-8.0,64.0,11.0,21.0,6.0
Net Profit,2.0,2.0,2.0,6.0,17.0,22.0,26.0,45.0,4.0,-195.0,-143.0,-110.0
EPS in Rs,6.42,4.7,5.01,5.5,12.08,15.19,17.2,29.91,2.46,-121.42,-89.16,-68.69
