,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.32,8.84,16.16,16.4,13.12,11.58,26.27,40.57,55.43,38.0,60.63,93.05,92.22
Expenses,6.87,8.35,15.6,15.86,12.44,11.22,24.58,38.32,51.33,34.7,55.45,87.34,85.92
Operating Profit,0.45,0.49,0.56,0.54,0.68,0.36,1.69,2.25,4.1,3.3,5.18,5.71,6.30
OPM %,6.15,5.54,3.47,3.29,5.18,3.11,6.43,5.55,7.4,8.68,8.54,6.14,6.83
Other Income,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.13,0.08,0.23,0.31,0.51,0.39
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.3,0.76,0.62,0.7,1.31,1.71
Depreciation,0.0,0.0,0.02,0.01,0.02,0.02,0.02,0.07,0.15,0.15,0.16,0.21,0.21
Profit before tax,0.49,0.51,0.54,0.53,0.66,0.34,1.58,2.01,3.27,2.76,4.63,4.7,4.77
Tax %,6.12,19.61,20.37,18.87,22.73,32.35,28.48,27.86,25.69,26.09,25.49,24.26,
Net Profit,0.46,0.41,0.43,0.42,0.51,0.24,1.13,1.44,2.43,2.03,3.46,3.55,3.62
EPS in Rs,0.85,0.76,0.8,0.78,0.95,0.81,1.41,1.45,2.02,1.34,1.96,1.68,1.71
