,2006-03-01,2007-03-01,2010-03-01,2011-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.15,0.15,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Reserves,8.31,8.59,11.65,8.49,19.8,20.19,20.96,21.14,21.71,23.93,24.8,27.45
Borrowings,0.0,0.0,0.0,0.65,3.5,1.8,1.8,1.1,0.01,0.01,0.01,2.51
Other Liabilities,0.96,0.95,1.67,13.07,6.45,4.77,3.49,5.22,3.87,3.86,4.69,5.65
Total Liabilities,9.42,9.69,14.32,25.21,32.75,29.76,29.25,30.46,28.59,30.8,32.5,38.61
Fixed Assets,0.0,0.0,0.0,0.0,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.01
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,8.46,8.18,0.11,2.54,0.2,0.2,0.02,0.02,0.02,0.52,0.64,0.64
Other Assets,0.96,1.51,14.21,22.67,32.51,29.52,29.2,30.41,28.55,30.26,31.85,37.96
Total Assets,9.42,9.69,14.32,25.21,32.75,29.76,29.25,30.46,28.59,30.8,32.5,38.61
