,2006-03-01,2007-03-01,2010-03-01,2011-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,,,0.0,0.0,52.21,64.9,29.56,133.64,48.9,30.11,96.23
Inventory Days,,,,251.93,1484.66,1112.22,614.08,719.97,601.33,0.00,0.00
Days Payable,,,,285.81,183.49,167.87,35.51,192.92,107.66,,
Cash Conversion Cycle,,,0.0,-33.88,1353.39,1009.26,608.13,660.69,542.57,30.11,96.23
Working Capital Days,,,5510.18,304.61,584.48,757.22,533.84,770.24,404.12,169.06,395.24
ROCE %,,2.67,,-44.05,,2.61,3.74,2.94,3.96,10.18,3.65
