,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,15.49,23.07,19.49,21.04,20.69
Expenses,15.03,18.86,16.1,19.25,18.77
Operating Profit,0.46,4.21,3.39,1.79,1.92
OPM %,2.97,18.25,17.39,8.51,9.28
Other Income,1.23,0.06,0.44,3.07,3.51
Interest,1.99,2.12,1.61,1.01,0.84
Depreciation,0.91,0.9,2.52,2.56,2.86
Profit before tax,-1.21,1.25,-0.3,1.29,1.73
Tax %,0.0,-2.4,33.33,13.18,
Net Profit,-1.21,1.28,-0.2,1.13,1.10
EPS in Rs,-2.37,2.51,-0.2,0.75,0.74
